종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
265520,AP시스템,"29,150","100","0.34","3,275,446,450","422,098,617,050"
035760,CJ ENM,"167,900","2,500","1.51","35,681,117,800","3,681,904,956,600"
058820,CMG제약,"4,575","-30","0.65","3,573,741,920","635,432,016,300"
028150,GS홈쇼핑,"155,700","-1,900","1.21","9,242,410,800","1,021,781,250,000"
035900,JYP Ent.,"38,800","-850","2.14","19,196,590,250","1,377,302,689,600"
035600,KG이니시스,"22,150","-200","0.89","6,090,360,850","618,083,213,100"
060720,KH바텍,"20,800","250","1.22","7,202,011,200","492,417,182,400"
060250,NHN한국사이버결제,"50,500","-1,000","1.94","2,912,419,900","1,237,389,834,500"
030190,NICE평가정보,"23,100","100","0.43","2,370,662,200","1,402,512,342,000"
178920,PI첨단소재,"46,000","100","0.22","7,352,507,200","1,350,850,812,000"
218410,RFHIC,"37,850","-250","0.66","8,032,006,200","902,632,417,000"
036540,SFA반도체,"7,420","100","1.37","16,533,845,190","1,220,295,448,260"
036490,SK머티리얼즈,"318,600","-2,400","0.75","4,878,184,500","3,360,488,617,800"
098460,고영,"25,300","-350","1.36","4,144,886,445","1,736,965,301,500"
215000,골프존,"110,500","1,000","0.91","6,018,903,000","693,433,357,500"
078130,국일제지,"5,690","-170","2.90","27,442,716,310","725,293,449,170"
092730,네오팜,"37,700","900","2.45","3,389,212,500","309,417,509,700"
007390,네이처셀,"13,900","-50","0.36","10,160,594,200","852,159,724,500"
033640,네패스,"37,050","-550","1.46","6,721,174,800","854,343,434,100"
194700,노바렉스,"45,100","-1,350","2.91","3,600,218,800","406,068,674,000"
144510,녹십자랩셀,"94,100","-2,600","2.69","10,956,449,300","993,136,481,400"
031390,녹십자셀,"41,150","-300","0.72","1,914,273,450","521,832,038,400"
119860,다나와,"28,600","-250","0.87","2,015,147,550","373,939,909,200"
032190,다우데이타,"14,700","-100","0.68","2,331,926,050","563,010,000,000"
068240,다원시스,"18,950","-50","0.26","4,870,717,150","598,145,512,650"
045390,대아티아이,"6,200","50","0.81","11,272,872,280","441,139,436,400"
078600,대주전자재료,"44,100","-150","0.34","5,624,884,400","678,595,100,400"
213420,덕산네오룩스,"44,550","100","0.22","8,573,857,350","1,069,646,034,600"
100130,동국S&C,"6,090","0","0.00","1,760,880,790","348,000,870,000"
086450,동국제약,"29,000","300","1.05","8,024,237,800","1,289,340,000,000"
005290,동진쎄미켐,"28,400","-250","0.87","9,179,369,800","1,460,171,629,600"
025900,동화기업,"66,300","-600","0.90","4,423,320,100","1,339,338,035,100"
060570,드림어스컴퍼니,"6,240","0","0.00","1,704,130,160","354,805,445,280"
141080,레고켐바이오,"48,800","-300","0.61","5,957,855,250","1,176,852,894,400"
294140,레몬,"8,110","-100","1.22","1,683,897,960","300,070,000,000"
058470,리노공업,"166,500","500","0.30","5,669,131,000","2,537,854,605,000"
267980,매일유업,"80,400","0","0.00","4,809,044,000","630,628,495,200"
215200,메가스터디교육,"65,500","200","0.31","2,818,216,900","775,872,390,000"
235980,메드팩토,"74,700","-3,800","4.84","19,183,164,800","1,530,068,297,400"
086900,메디톡스,"169,200","-1,700","0.99","8,180,129,900","1,058,241,772,800"
078160,메디포스트,"32,050","0","0.00","2,817,508,150","521,267,417,700"
140410,메지온,"132,500","-6,200","4.47","15,475,695,300","1,178,283,545,000"
018290,브이티지엠피,"9,460","90","0.96","9,043,028,270","323,149,068,660"
090460,비에이치,"18,050","-650","3.48","14,496,035,900","608,153,018,400"
082920,비츠로셀,"14,850","300","2.06","2,730,277,850","319,856,407,200"
143240,사람인에이치알,"37,200","-400","1.06","496,510,350","433,724,583,600"
000250,삼천당제약,"52,400","-1,000","1.87","11,693,765,900","1,193,045,348,400"
038500,삼표시멘트,"5,560","150","2.77","13,227,871,150","596,905,881,880"
038540,상상인,"7,800","-80","1.02","3,047,951,930","431,560,841,400"
089980,상아프론테크,"48,200","400","0.84","4,018,224,450","757,933,673,000"
006730,서부T&D,"9,550","620","6.94","19,509,045,130","565,922,791,050"
092190,서울바이오시스,"16,400","-300","1.80","2,158,264,100","626,867,909,200"
046890,서울반도체,"19,650","-150","0.76","7,666,137,050","1,145,701,110,000"
178320,서진시스템,"42,050","-300","0.71","6,706,572,450","761,133,005,300"
268600,셀리버리,"96,100","-5,300","5.23","27,832,440,600","1,603,737,365,400"
068760,셀트리온제약,"136,000","-3,000","2.16","18,719,544,500","4,970,283,744,000"
091990,셀트리온헬스케어,"117,200","-2,600","2.17","78,704,977,900","18,164,936,058,400"
357780,솔브레인,"327,800","-500","0.15","9,540,090,700","2,549,813,934,800"
036830,솔브레인홀딩스,"37,300","-650","1.71","2,058,356,500","781,959,288,800"
192440,슈피겐코리아,"55,900","-1,100","1.93","2,069,926,800","347,494,691,700"
253450,스튜디오드래곤,"97,500","-700","0.71","12,652,448,300","2,925,423,637,500"
243840,신흥에스이씨,"48,450","-150","0.31","2,275,683,000","349,458,270,450"
108320,실리콘웍스,"114,400","100","0.09","17,013,390,800","1,860,635,920,000"
222080,씨아이에스,"12,250","300","2.51","9,380,956,050","704,273,031,000"
096530,씨젠,"64,500","-3,800","5.56","126,920,271,200","3,368,576,613,000"
025980,아난티,"10,100","100","1.00","41,538,982,650","860,305,748,700"
092040,아미코젠,"36,300","-150","0.41","5,372,223,750","697,668,213,000"
084850,아이티엠반도체,"44,100","-100","0.23","4,046,212,300","1,019,588,207,400"
067160,아프리카TV,"101,300","3,600","3.68","15,630,554,000","1,164,419,897,100"
053800,안랩,"68,500","-300","0.44","5,790,874,700","685,949,067,500"
065660,안트로젠,"49,700","-150","0.30","7,223,581,600","468,265,696,500"
131370,알서포트,"8,160","-140","1.69","2,609,988,780","434,659,397,280"
196170,알테오젠,"70,200","-100","0.14","9,799,340,600","2,957,129,370,000"
101490,에스앤에스텍,"28,700","-350","1.20","3,285,108,450","615,656,528,900"
056190,에스에프에이,"42,600","0","0.00","3,261,099,800","1,529,713,176,000"
041510,에스엠,"44,400","100","0.23","21,801,667,500","1,041,291,044,400"
052020,에스티큐브,"8,160","-30","0.37","745,280,680","249,499,368,480"
237690,에스티팜,"108,000","-1,100","1.01","26,898,127,200","2,014,848,000,000"
298380,에이비엘바이오,"20,450","-250","1.21","3,997,708,900","963,670,973,750"
088800,에이스테크,"17,150","50","0.29","15,978,942,000","702,428,465,200"
028300,에이치엘비,"33,850","-2,000","5.58","52,100,822,400","3,590,526,029,500"
067630,에이치엘비생명과학,"10,100","-350","3.35","8,638,247,650","951,227,150,600"
239610,에이치엘사이언스,"38,700","-100","0.26","397,717,450","208,674,850,500"
230360,에코마케팅,"25,050","-200","0.79","2,506,615,550","816,576,743,700"
086520,에코프로,"45,650","-2,000","4.20","23,057,782,550","853,718,316,550"
247540,에코프로비엠,"175,800","-800","0.45","9,599,232,500","3,853,442,122,800"
183490,엔지켐생명과학,"96,000","-2,800","2.83","18,166,670,500","799,809,120,000"
182400,엔케이맥스,"14,250","-200","1.38","2,625,770,950","497,216,600,250"
061970,엘비세미콘,"13,050","-150","1.14","4,423,773,250","571,388,925,600"
290650,엘앤씨바이오,"30,950","100","0.32","2,852,453,050","677,093,397,600"
066970,엘앤에프,"87,600","-900","1.02","18,659,870,800","2,459,696,660,400"
097520,엠씨넥스,"47,900","-900","1.84","8,797,741,900","855,660,787,800"
039200,오스코텍,"36,700","-750","2.00","8,429,624,600","1,097,875,325,300"
048260,오스템임플란트,"91,000","1,900","2.13","14,717,538,200","1,300,000,247,000"
138080,오이솔루션,"43,750","-550","1.24","5,284,312,550","464,804,156,250"
122990,와이솔,"12,600","-100","0.79","2,152,101,250","355,155,456,600"
122870,와이지엔터테인먼트,"51,000","100","0.20","8,430,470,200","940,127,319,000"
240810,원익IPS,"50,400","0","0.00","14,364,464,550","2,473,828,610,400"
104830,원익머트리얼즈,"34,150","-650","1.87","2,864,591,150","430,563,200,000"
030530,원익홀딩스,"6,720","80","1.20","2,788,539,280","519,039,232,320"
069080,웹젠,"31,450","-800","2.48","12,468,276,600","1,110,527,301,800"
044340,위닉스,"22,850","-50","0.22","2,418,094,400","408,407,761,250"
112040,위메이드,"58,900","-100","0.17","4,968,837,900","989,520,000,000"
078070,유비쿼스홀딩스,"21,100","100","0.48","931,747,050","394,498,850,800"
023410,유진기업,"6,030","100","1.69","8,946,529,590","466,184,503,890"
084370,유진테크,"47,950","1,400","3.01","16,575,274,350","1,098,824,213,900"
263050,유틸렉스,"33,250","-1,200","3.48","3,892,994,000","505,176,127,750"
272290,이녹스첨단소재,"61,400","-900","1.44","8,699,686,900","600,235,900,600"
078020,이베스트투자증권,"8,440","-60","0.71","1,159,830,310","468,261,243,600"
102710,이엔에프테크놀로지,"35,050","-350","0.99","4,014,285,100","500,788,651,800"
039030,이오테크닉스,"111,100","-1,400","1.24","7,096,546,000","1,368,702,005,000"
035810,이지홀딩스,"5,070","40","0.80","3,482,854,550","330,289,434,150"
060150,인선이엔티,"13,000","-100","0.76","6,318,789,400","605,326,956,000"
048530,인트론바이오,"22,600","-450","1.95","5,603,698,300","756,502,433,400"
095700,제넥신,"97,500","-2,500","2.50","75,884,903,300","2,431,220,805,000"
204270,제이앤티씨,"9,610","-80","0.83","858,531,600","555,923,758,260"
036930,주성엔지니어링,"13,950","-250","1.76","8,831,693,650","673,076,507,400"
115450,지트리비앤티,"11,200","-300","2.61","4,659,425,200","303,385,812,800"
085660,차바이오텍,"19,400","-100","0.51","3,614,733,850","1,035,130,320,200"
278280,천보,"167,500","-500","0.30","4,996,971,600","1,675,000,000,000"
293490,카카오게임즈,"53,400","900","1.71","27,693,085,600","3,984,078,627,600"
042000,카페24,"30,750","-150","0.49","2,215,952,000","579,168,039,750"
078340,컴투스,"130,200","-1,300","0.99","25,113,668,800","1,675,207,884,000"
214370,케어젠,"66,800","-500","0.74","900,421,100","717,632,400,000"
032500,케이엠더블유,"53,400","-800","1.48","16,276,020,900","2,126,435,152,200"
290510,코리아센터,"8,270","-80","0.96","3,082,731,000","630,179,267,990"
041960,코미팜,"10,400","-50","0.48","1,826,527,850","667,533,110,400"
029960,코엔텍,"9,340","70","0.76","4,633,874,350","467,000,000,000"
033290,코웰패션,"6,390","-90","1.39","2,359,184,370","565,516,495,260"
200130,콜마비앤에이치,"52,700","-200","0.38","6,872,640,700","1,556,945,506,600"
083790,크리스탈지노믹스,"8,280","-270","3.16","6,393,753,180","573,360,904,080"
214150,클래시스,"15,300","-350","2.24","6,011,126,750","990,168,019,200"
237880,클리오,"27,700","250","0.91","15,719,910,400","480,104,183,700"
095610,테스,"30,700","-100","0.32","5,621,184,250","606,884,538,200"
200230,텔콘RF제약,"4,720","-65","1.36","2,353,694,385","413,042,536,640"
108230,톱텍,"11,900","-50","0.42","1,443,416,100","452,476,615,500"
064760,티씨케이,"171,500","-3,800","2.17","4,288,861,200","2,002,262,500,000"
034230,파라다이스,"19,800","400","2.06","21,421,291,100","1,800,664,905,600"
214450,파마리서치,"82,400","-2,000","2.37","9,194,462,400","833,223,032,000"
091700,파트론,"10,400","-50","0.48","2,298,416,950","563,226,664,000"
263750,펄어비스,"59,100","-600","1.01","8,491,872,400","3,913,690,650,000"
022100,포스코 ICT,"8,200","50","0.61","13,518,376,030","1,246,684,777,800"
137400,피엔티,"22,600","550","2.49","6,202,948,700","513,951,074,800"
003380,하림지주,"10,600","350","3.41","5,502,275,800","978,823,292,000"
034950,한국기업평가,"86,400","0","0.00","286,347,700","392,300,409,600"
084990,헬릭스미스,"31,050","-850","2.66","7,006,057,250","1,063,950,419,700"
048410,현대바이오,"35,100","-950","2.64","37,149,854,300","1,281,896,822,700"
052260,현대바이오랜드,"23,700","150","0.64","3,596,682,400","355,500,000,000"
243070,휴온스,"61,600","-1,500","2.38","7,545,658,600","668,955,733,600"
145020,휴젤,"201,000","-600","0.30","4,265,712,600","2,509,576,455,000"